id,smash_count,pass_count,total_votes,smash_pct
324,82563,676498,759061,10.88
325,95314,662496,757810,12.58
326,134497,622132,756629,17.78
327,146149,609358,755507,19.34
328,71563,682835,754398,9.49
329,77979,675250,753229,10.35
330,237146,515103,752249,31.52
331,72914,677917,750831,9.71
332,119524,630272,749796,15.94
333,92817,655793,748610,12.4
334,323330,424408,747738,43.24
335,208727,537564,746291,27.97
336,171276,573815,745091,22.99
337,76038,667818,743856,10.22
338,70845,671998,742843,9.54
339,79896,661831,741727,10.77
340,88873,651778,740651,12.0
341,60234,679248,739482,8.15
342,73324,665059,738383,9.93
343,64702,672457,737159,8.78
344,71211,664795,736006,9.68
345,115877,618998,734875,15.77
346,132219,601608,733827,18.02
347,58767,674002,732769,8.02
348,103645,628107,731752,14.16
349,73602,657232,730834,10.07
350,479186,250976,730162,65.63
351,121956,605909,727865,16.76
352,93587,632732,726319,12.89
353,123592,601418,725010,17.05
354,177049,546851,723900,24.46
355,80546,642274,722820,11.14
356,91964,629821,721785,12.74
357,141183,579550,720733,19.59
358,94318,625372,719690,13.11
359,369801,348957,718758,51.45
360,92855,624498,717353,12.94
361,71044,645071,716115,9.92
362,73139,642063,715202,10.23
363,98164,616044,714208,13.74
364,94635,618667,713302,13.27
365,101852,610616,712468,14.3
366,92864,618739,711603,13.05
367,74874,635822,710696,10.54
368,144425,565423,709848,20.35
369,61057,647827,708884,8.61
370,123873,584181,708054,17.49
371,70991,636239,707230,10.04
372,66992,639505,706497,9.48
373,219028,486721,705749,31.03
374,68783,635940,704723,9.76
375,76315,627682,703997,10.84
376,127852,575384,703236,18.18
377,107252,595176,702428,15.27
378,108096,593575,701671,15.41
379,118541,582549,701090,16.91
380,356235,344278,700513,50.85
381,299823,399848,699671,42.85
382,205227,493653,698880,29.37
383,190333,507806,698139,27.26
384,283862,413571,697433,40.7
385,223882,472716,696598,32.14
386,348970,346867,695837,50.15
387,74857,615903,690760,10.84
388,72149,616939,689088,10.47
389,107002,581083,688085,15.55
390,75684,611268,686952,11.02
391,88130,598101,686231,12.84
392,201136,484451,685587,29.34
393,109782,575045,684827,16.03
394,97384,586884,684268,14.23
395,187369,496365,683734,27.4
396,73295,609400,682695,10.74
397,81510,600439,681949,11.95
398,138777,542538,681315,20.37
399,95100,585333,680433,13.98
400,82255,596900,679155,12.11
401,54425,623295,677720,8.03
402,76219,600672,676891,11.26
403,113329,562777,676106,16.76
404,152483,522955,675438,22.58
405,294484,380410,674894,43.63
406,69657,604140,673797,10.34
407,330659,342454,673113,49.12
408,64019,607784,671803,9.53
409,92858,578117,670975,13.84
410,53858,616210,670068,8.04
411,66232,603035,669267,9.9
412,55293,613256,668549,8.27
413,63298,604549,667847,9.48
414,64169,602944,667113,9.62
415,68645,597875,666520,10.3
416,296593,369456,666049,44.53
417,127153,538031,665184,19.12
418,142601,521775,664376,21.46
419,225791,437955,663746,34.02
420,79320,583545,662865,11.97
421,90599,571605,662204,13.68
422,80924,580538,661462,12.23
423,118437,542461,660898,17.92
424,112002,548265,660267,16.96
425,71897,587654,659551,10.9
426,79976,578956,658932,12.14
427,161245,497271,658516,24.49
428,726564,210604,937168,77.53
429,356908,294019,650927,54.83
430,113465,533583,647048,17.54
431,154391,490541,644932,23.94
432,117393,526130,643523,18.24
433,59424,582596,642020,9.26
434,56683,583900,640583,8.85
435,73996,565432,639428,11.57
436,47998,590281,638279,7.52
437,60140,577085,637225,9.44
438,52254,583935,636189,8.21
439,69863,565513,635376,11.0
440,82187,552343,634530,12.95
441,64743,568910,633653,10.22
442,98137,534731,632868,15.51
443,72643,559491,632134,11.49
444,162480,469095,631575,25.73
445,287383,343728,631111,45.54
446,77462,552850,630312,12.29
447,147677,482151,629828,23.45
448,436409,192960,629369,69.34
449,56594,571026,627620,9.02
450,65796,560824,626620,10.5
451,52655,572846,625501,8.42
452,79070,545590,624660,12.66
453,71667,552187,623854,11.49
454,116543,506686,623229,18.7
455,81771,540689,622460,13.14
456,63279,558519,621798,10.18
457,94690,526445,621135,15.24
458,70259,550229,620488,11.32
459,52364,567372,619736,8.45
460,90785,528253,619038,14.67
461,250344,368122,618466,40.48
462,64816,552812,617628,10.49
463,211498,405707,617205,34.27
464,98108,518271,616379,15.92
465,130947,484795,615742,21.27
466,106162,508947,615109,17.26
467,75945,538569,614514,12.36
468,155224,458790,614014,25.28
469,61264,554374,615638,9.95
470,346176,266507,612683,56.5
471,406904,205375,612279,66.46
472,108371,503042,611413,17.72
473,73967,536698,610665,12.11
474,99715,510283,609998,16.35
475,316388,293263,609651,51.9
476,56290,552570,608860,9.25
477,100013,508104,608117,16.45
478,325167,282522,607689,53.51
479,110202,496615,606817,18.16
480,142547,463667,606214,23.51
481,198379,407408,605787,32.75
482,167287,438082,605369,27.63
483,202574,402368,604942,33.49
484,195275,409288,604563,32.3
485,68559,535459,604018,11.35
486,112015,491599,603614,18.56
487,201375,401835,603210,33.38
488,270192,332619,602811,44.82
489,121245,481069,602314,20.13
490,137557,464323,601880,22.85
491,233445,368037,601482,38.81
492,129130,471940,601070,21.48
493,307616,293020,600636,51.22
494,176319,423031,599350,29.42
495,128867,468265,597132,21.58
496,165967,430704,596671,27.82
497,344220,251825,596045,57.75
498,61029,534051,595080,10.26
499,65702,528951,594653,11.05
500,113343,480516,593859,19.09
501,84434,508394,592828,14.24
502,134030,458356,592386,22.63
503,168127,423885,592012,28.4
504,48616,542332,590948,8.23
505,60767,529562,590329,10.29
506,66114,523527,589641,11.21
507,69717,519472,589189,11.83
508,78835,509923,588758,13.39
509,150758,437528,588286,25.63
510,268560,319388,587948,45.68
511,58733,528493,587226,10.0
512,77216,509519,586735,13.16
513,58209,528059,586268,9.93
514,71657,514301,585958,12.23
515,62020,523598,585618,10.59
516,127749,457649,585398,21.82
517,68187,516805,584992,11.66
518,88820,495791,584611,15.19
519,50255,533882,584137,8.6
520,75236,508478,583714,12.89
521,111670,471688,583358,19.14
522,75031,507831,582862,12.87
523,146466,436076,582542,25.14
524,58582,523419,582001,10.07
525,50262,531254,581516,8.64
526,76182,504923,581105,13.11
527,49590,531076,580666,8.54
528,64908,515300,580208,11.19
529,50486,529312,579798,8.71
530,85763,493630,579393,14.8
531,245204,333839,579043,42.35
532,54293,524151,578444,9.39
533,70798,507231,578029,12.25
534,80627,497032,577659,13.96
535,49816,527423,577239,8.63
536,50939,525907,576846,8.83
537,64654,511850,576504,11.21
538,75046,501064,576110,13.03
539,104982,470858,575840,18.23
540,57658,517751,575409,10.02
541,65315,509822,575137,11.36
542,359818,215144,574962,62.58
543,51609,522539,574148,8.99
544,51644,522013,573657,9.0
545,148190,425113,573303,25.85
546,66005,506742,572747,11.52
547,178354,394064,572418,31.16
548,81207,490816,572023,14.2
549,389287,182555,571842,68.08
550,42067,528888,570955,7.37
551,50127,520301,570428,8.79
552,120240,449794,570034,21.09
553,153005,416674,569679,26.86
554,44579,524701,569280,7.83
555,63290,505609,568899,11.12
556,147312,421216,568528,25.91
557,42865,525220,568085,7.55
558,44278,523427,567705,7.8
559,62179,505153,567332,10.96
560,94496,472477,566973,16.67
561,57420,509123,566543,10.14
562,56066,510098,566164,9.9
563,97845,467936,565781,17.29
564,48874,516545,565419,8.64
565,76507,488523,565030,13.54
566,50656,513970,564626,8.97
567,82200,482039,564239,14.57
568,43328,520542,563870,7.68
569,49674,513894,563568,8.81
570,154764,408501,563265,27.48
571,412074,150987,563061,73.18
572,122931,439549,562480,21.86
573,227150,335071,562221,40.4
574,86186,475716,561902,15.34
575,205004,356707,561711,36.5
576,305441,256019,561460,54.4
577,64333,496621,560954,11.47
578,69638,490950,560588,12.42
579,118221,441986,560207,21.1
580,49760,509937,559697,8.89
581,119224,440142,559366,21.31
582,58356,500621,558977,10.44
583,60758,497947,558705,10.87
584,70609,487838,558447,12.64
585,124822,433294,558116,22.36
586,180549,377287,557836,32.37
587,98499,459004,557503,17.67
588,39604,517552,557156,7.11
589,65121,491716,556837,11.69
590,50218,506225,556443,9.02
591,74970,481221,556191,13.48
592,162727,393041,555768,29.28
593,91589,463844,555433,16.49
594,85811,469266,555077,15.46
595,51754,503014,554768,9.33
596,79218,475259,554477,14.29
597,37483,516660,554143,6.76
598,48495,505298,553793,8.76
599,42212,511246,553458,7.63
600,44415,508512,552927,8.03
601,48933,503641,552574,8.86
602,56897,495272,552169,10.3
603,73572,478277,551849,13.33
604,104744,446847,551591,18.99
605,47850,503367,551217,8.68
606,62178,488775,550953,11.29
607,73077,477537,550614,13.27
608,71714,478615,550329,13.03
609,105372,444708,550080,19.16
610,65306,484456,549762,11.88
611,83297,466207,549504,15.16
612,184794,364457,549251,33.64
613,56384,492586,548970,10.27
614,106099,442549,548648,19.34
615,44453,503846,548299,8.11
616,55553,492406,547959,10.14
617,64782,482872,547654,11.83
618,42729,504623,547352,7.81
619,108257,438778,547035,19.79
620,310899,235971,546870,56.85
621,106345,440068,546413,19.46
622,50985,495019,546004,9.34
623,100582,445014,545596,18.44
624,48231,497050,545281,8.85
625,140188,404776,544964,25.72
626,68454,476163,544617,12.57
627,43092,501094,544186,7.92
628,84746,459151,543897,15.58
629,41865,501697,543562,7.7
630,89176,454075,543251,16.42
631,53710,489219,542929,9.89
632,41997,500549,542546,7.74
633,64182,478050,542232,11.84
634,83047,458997,542044,15.32
635,157601,384166,541767,29.09
636,47628,493821,541449,8.8
637,114361,426809,541170,21.13
638,153909,386934,540843,28.46
639,89213,451300,540513,16.51
640,287421,252960,540381,53.19
641,98600,441380,539980,18.26
642,110568,429105,539673,20.49
643,264714,274727,539441,49.07
644,236413,302677,539090,43.85
645,100092,438654,538746,18.58
646,127845,410567,538412,23.74
647,127978,410159,538137,23.78
648,334212,203519,537731,62.15
649,93516,443881,537397,17.4
650,58308,477199,535507,10.89
651,44087,490677,534764,8.24
652,93385,440971,534356,17.48
653,126357,407619,533976,23.66
654,334791,199018,533809,62.72
655,392467,141110,533577,73.55
656,57122,475782,532904,10.72
657,87064,445507,532571,16.35
658,272409,259902,532311,51.17
659,53944,477794,531738,10.14
660,58113,473184,531297,10.94
661,46360,484499,530859,8.73
662,56546,473960,530506,10.66
663,96549,433609,530158,18.21
664,36983,492761,529744,6.98
665,39258,490158,529416,7.42
666,82357,446748,529105,15.57
667,50292,478473,528765,9.51
668,121598,406883,528481,23.01
669,68712,459532,528244,13.01
670,100611,427360,527971,19.06
671,292275,235519,527794,55.38
672,55430,471864,527294,10.51
673,89699,437198,526897,17.02
674,55765,470826,526591,10.59
675,137150,389152,526302,26.06
676,111414,414545,525959,21.18
677,84159,441493,525652,16.01
678,173240,352173,525413,32.97
679,56043,469077,525120,10.67
680,61143,463704,524847,11.65
681,70811,453776,524587,13.5
682,58424,465874,524298,11.14
683,100923,423108,524031,19.26
684,60122,463614,523736,11.48
685,77991,445469,523460,14.9
686,51042,472158,523200,9.76
687,117433,405535,522968,22.46
688,34539,488072,522611,6.61
689,50553,471778,522331,9.68
690,37841,484224,522065,7.25
691,88048,433740,521788,16.87
692,36432,485016,521448,6.99
693,47715,473437,521152,9.16
694,57169,463703,520872,10.98
695,108940,411734,520674,20.92
696,50999,469382,520381,9.8
697,113601,406594,520195,21.84
698,86389,433588,519977,16.61
699,202035,317687,519722,38.87
700,353030,166599,519629,67.94
701,87804,430972,518776,16.93
702,65853,452483,518336,12.7
703,43388,474572,517960,8.38
704,69585,448047,517632,13.44
705,100925,416507,517432,19.5
706,278618,238620,517238,53.87
707,49918,466969,516887,9.66
708,52131,464433,516564,10.09
709,85149,431157,516306,16.49
710,54159,461843,516002,10.5
711,130521,385206,515727,25.31
712,36625,478864,515489,7.1
713,47120,468138,515258,9.14
714,60678,454311,514989,11.78
715,181976,332734,514710,35.36
716,235936,278619,514555,45.85
717,173417,340892,514309,33.72
718,127075,387017,514092,24.72
719,221458,292498,513956,43.09
720,107952,405737,513689,21.02
721,66028,447439,513467,12.86
722,54520,458235,512755,10.63
723,60814,451667,512481,11.87
724,208592,303641,512233,40.72
725,82868,429109,511977,16.19
726,103413,408446,511859,20.2
727,201131,310552,511683,39.31
728,64453,446964,511417,12.6
729,110542,400677,511219,21.62
730,348662,162441,511103,68.22
731,42861,467681,510542,8.4
732,43330,466902,510232,8.49
733,55673,454323,509996,10.92
734,39630,470086,509716,7.77
735,43644,465828,509472,8.57
736,35120,474128,509248,6.9
737,40182,468837,509019,7.89
738,53557,455221,508778,10.53
739,35138,473375,508513,6.91
740,40564,467771,508335,7.98
741,117895,390266,508161,23.2
742,46223,461636,507859,9.1
743,99366,408279,507645,19.57
744,73630,433836,507466,14.51
745,185442,321898,507340,36.55
746,46267,460858,507125,9.12
